key	th	en	cn	ja	km	ko	lo	my	vi	ms	id	fil
ss_switch_category	เปลี่ยนรายการ	Switch category	切换分类	カテゴリを切り替える	ប្តូរប្រភេទ	분류 전환	ປ່ຽນໝວດ	အမျိုးအစားပြောင်းရန်	Chuyển danh mục	Tukar kategori	Ganti kategori	Lumipat ng kategorya
ss_continue_editing	แก้ไขต่อ	Keep editing	继续编辑	編集を続ける	បន្តកែសម្រួល	계속 편집	ສືບຕໍ່ແກ້ໄຂ	ဆက်လက်တည်းဖြတ်ရန်	Tiếp tục chỉnh sửa	Terus menyunting	Lanjutkan mengedit	Magpatuloy sa pag-edit
ss_company_branch_access_is_incomplete	บริษัท/สาขาที่เข้าใช้งานได้ยังไม่ครบ — เลือกสาขาให้ครบทุกบริษัทที่ระบุ หรือติ๊ก ใช้ได้ทั้งกลุ่มกิจการ	Company/branch access is incomplete — pick branches for each listed company, or enable whole-group access.	公司/分支机构访问权限不完整 — 请为每个列出的公司选择分支机构，或启用整个集团访问权限。	会社/支店のアクセスが不完全です — リストされている各会社の支店を選択するか、グループ全体のアクセスを有効にしてください。	ការចូលប្រើក្រុមហ៊ុន/សាខាមិនពេញលេញ — ជ្រើសរើសសាខាសម្រាប់ក្រុមហ៊ុននីមួយៗដែលបានរាយ ឬបើកការចូលប្រើសម្រាប់ក្រុមទាំងមូល។	회사/지점 접근 권한이 완전하지 않습니다 — 나열된 각 회사의 지점을 선택하거나 전체 그룹 접근을 활성화하세요.	ການເຂົ້າເຖິງບໍລິສັດ/ສາຂາຍັງບໍ່ຄົບຖ້ວນ — ເລືອກສາຂາໃຫ້ຄົບທຸກບໍລິສັດທີ່ລະບຸ ຫຼືເປີດການເຂົ້າເຖິງທັງກຸ່ມບໍລິສັດ.	ကုမ္ပဏီ/ဘဏ်ခွဲ အသုံးပြုခွင့် မပြည့်စုံပါ — စာရင်းပါ ကုမ္ပဏီတစ်ခုစီအတွက် ဘဏ်ခွဲများကို ရွေးပါ သို့မဟုတ် အဖွဲ့တစ်ခုလုံး အသုံးပြုခွင့်ကို ဖွင့်ပါ။	Quyền truy cập công ty/chi nhánh chưa đầy đủ — hãy chọn chi nhánh cho từng công ty được liệt kê hoặc bật quyền truy cập toàn bộ tập đoàn.	Akses syarikat/cawangan tidak lengkap — pilih cawangan untuk setiap syarikat yang tersenarai, atau dayakan akses seluruh kumpulan.	Akses perusahaan/cabang tidak lengkap — pilih cabang untuk setiap perusahaan yang tercantum, atau aktifkan akses seluruh grup.	Hindi kumpleto ang access ng kumpanya/sangay — pumili ng mga sangay para sa bawat nakalistang kumpanya, o paganahin ang access ng buong grupo.
ss_user_code_already_exists	รหัสผู้ใช้งานซ้ำ	User code already exists.	用户代码已存在。	ユーザーコードは既に存在します。	លេខកូដអ្នកប្រើប្រាស់មានរួចហើយ។	사용자 코드가 이미 존재합니다.	ລະຫັດຜູ້ໃຊ້ມີແລ້ວ.	အသုံးပြုသူကုဒ် ရှိပြီးသားဖြစ်သည်။	Mã người dùng đã tồn tại.	Kod pengguna sudah wujud.	Kode pengguna sudah ada.	Mayroon nang user code.
ss_this_code_already_exists	รหัสนี้มีอยู่แล้ว	This code already exists.	此代码已存在。	このコードは既に存在します。	លេខកូដនេះមានរួចហើយ។	이 코드는 이미 존재합니다.	ລະຫັດນີ້ມີແລ້ວ.	ဤကုဒ်သည် ရှိပြီးသားဖြစ်သည်။	Mã này đã tồn tại.	Kod ini sudah wujud.	Kode ini sudah ada.	Mayroon nang code na ito.
ss_record_version_is_missing_refresh	ไม่พบเวอร์ชันข้อมูล กรุณารีเฟรชก่อนลบ	Record version is missing. Refresh before deleting.	记录版本缺失。删除前请刷新。	レコードバージョンが見つかりません。削除する前に更新してください。	រកមិនឃើញកំណែកំណត់ត្រាទេ។ សូមផ្ទុកឡើងវិញមុនពេលលុប។	레코드 버전이 없습니다. 삭제하기 전에 새로 고치세요.	ບໍ່ພົບເວີຊັນຂອງລາຍການ. ກະລຸນາຣີເຟຣຊກ່ອນລຶບ.	မှတ်တမ်းဗားရှင်း မတွေ့ပါ။ မဖျက်မီ ပြန်လည်တင်ပါ။	Thiếu phiên bản bản ghi. Hãy làm mới trước khi xóa.	Versi rekod tiada. Muat semula sebelum memadam.	Versi rekaman tidak ditemukan. Muat ulang sebelum menghapus.	Nawawala ang bersyon ng record. I-refresh bago mag-delete.
ss_reference_id	รหัสอ้างอิง	Reference ID	参考ID	参照ID	លេខសម្គាល់យោង	참조 ID	ລະຫັດອ້າງອີງ	ရည်ညွှန်းအမှတ်	Mã tham chiếu	ID Rujukan	ID Referensi	ID ng Sanggunian
ss_search	ค้นหา...	Search...	搜索...	検索...	ស្វែងរក...	검색...	ຄົ້ນຫາ...	ရှာဖွေရန်...	Tìm kiếm...	Cari...	Cari...	Maghanap...
ss_add_root	เพิ่มกลุ่มหลัก	Add Root	添加根组	ルートを追加	បន្ថែមឫស	루트 추가	ເພີ່ມຮາກ	အမြစ်ထည့်ရန်	Thêm gốc	Tambah Akar	Tambah Akar	Magdagdag ng Root
ss_back_to_category_sets	กลับไปเลือกชุดหมวด	Back to category sets	返回类别集	カテゴリセットに戻る	ត្រឡប់ទៅសំណុំប្រភេទ	카테고리 세트로 돌아가기	ກັບຄືນໄປຫາຊຸດໝວດ	အမျိုးအစားအစုံများသို့ ပြန်သွားရန်	Quay lại bộ danh mục	Kembali ke set kategori	Kembali ke set kategori	Bumalik sa mga set ng kategorya
ss_you_have_unsaved_changes_do	หากกลับไปเลือกชุดหมวดตอนนี้ ข้อมูลที่ยังไม่ได้บันทึกจะหายไป	You have unsaved changes. Do you want to leave without saving?	您有未保存的更改。是否不保存就离开？	保存されていない変更があります。保存せずに移動しますか？	អ្នកមានការផ្លាស់ប្តូរដែលមិនបានរក្សាទុក។ តើអ្នកចង់ចាកចេញដោយមិនរក្សាទុកទេ?	저장되지 않은 변경 사항이 있습니다. 저장하지 않고 나가시겠습니까?	ທ່ານມີການປ່ຽນແປງທີ່ບໍ່ໄດ້ບັນທຶກ. ຕ້ອງການອອກໂດຍບໍ່ບັນທຶກບໍ?	သိမ်းဆည်းမထားသော ပြောင်းလဲမှုများရှိသည်။ မသိမ်းဆည်းဘဲ ထွက်ခွာလိုပါသလား။	Bạn có các thay đổi chưa lưu. Bạn có muốn rời đi mà không lưu không?	Anda mempunyai perubahan yang belum disimpan. Adakah anda mahu keluar tanpa menyimpan?	Anda memiliki perubahan yang belum disimpan. Apakah Anda ingin keluar tanpa menyimpan?	Mayroon kang mga hindi na-save na pagbabago. Gusto mo bang umalis nang hindi sine-save?
ss_go_back_without_saving	กลับโดยไม่บันทึก	Leave without saving	不保存离开	保存せずに移動	ចាកចេញដោយមិនរក្សាទុក	저장하지 않고 나가기	ອອກໂດຍບໍ່ບັນທຶກ	မသိမ်းဆည်းဘဲ ထွက်ခွာရန်	Rời đi không lưu	Keluar tanpa menyimpan	Keluar tanpa menyimpan	Umalis nang hindi sine-save
ss_add_category	เพิ่มหมวดสินค้า	Add Category	添加类别	カテゴリを追加	បន្ថែមប្រភេទ	카테고리 추가	ເພີ່ມໝວດ	အမျိုးအစားထည့်ရန်	Thêm danh mục	Tambah Kategori	Tambah Kategori	Magdagdag ng Kategorya
ss_how_to_use	วิธีใช้	How to use	如何使用	使い方	របៀបប្រើប្រាស់	사용 방법	ວິທີໃຊ້	အသုံးပြုနည်း	Cách sử dụng	Cara penggunaan	Cara penggunaan	Paano gamitin
ss_resize_product_group_tree_and	ปรับขนาดกลุ่มสินค้าและฟอร์ม (ลากเพื่อปรับ, ดับเบิ้ลคลิกเพื่อรีเซ็ต)	Resize product group tree and form panes (drag to resize, double-click to reset)	调整产品组树和表单窗格大小（拖动调整，双击重置）	商品グループツリーとフォーム枠のサイズを変更（ドラッグで調整、ダブルクリックでリセット）	លៃតម្រូវទំហំមែកធាងក្រុមផលិតផល និងផ្ទាំងទម្រង់ (អូសដើម្បីលៃតម្រូវ ចុចពីរដងដើម្បីកំណត់ឡើងវិញ)	제품 그룹 트리 및 양식 창 크기 조정 (드래그하여 조정, 두 번 클릭하여 재설정)	ປັບຂະໜາດຕົ້ນໄມ້ກຸ່ມສິນຄ້າ ແລະ ແຖບຟອມ (ລາກເພື່ອປັບ, ກົດສອງຄັ້ງເພື່ອລີເຊັດ)	ကုန်ပစ္စည်းအုပ်စုသစ်ပင်နှင့် ဖောင်အကန့်များ အရွယ်အစားပြောင်းရန် (ဆွဲ၍ပြောင်းပါ၊ ပြန်သတ်မှတ်ရန် နှစ်ချက်နှိပ်ပါ)	Thay đổi kích thước cây nhóm sản phẩm và ngăn biểu mẫu (kéo để thay đổi, nhấp đúp để đặt lại)	Ubah saiz pepohon kumpulan produk dan anak tetingkap borang (seret untuk ubah saiz, klik dua kali untuk set semula)	Ubah ukuran pohon grup produk dan panel formulir (seret untuk mengubah, klik dua kali untuk mengatur ulang)	Baguhin ang laki ng puno ng pangkat ng produkto at mga pane ng form (i-drag upang baguhin, i-double click upang i-reset)
ss_resize_product_subgroup_tree_and	ปรับขนาดกลุ่มสินค้าย่อยและฟอร์ม (ลากเพื่อปรับ, ดับเบิ้ลคลิกเพื่อรีเซ็ต)	Resize product subgroup tree and form panes (drag to resize, double-click to reset)	调整产品子组树和表单窗格大小（拖动调整，双击重置）	商品サブグループツリーとフォーム枠のサイズを変更（ドラッグで調整、ダブルクリックでリセット）	លៃតម្រូវទំហំមែកធាងក្រុមរងផលិតផល និងផ្ទាំងទម្រង់ (អូសដើម្បីលៃតម្រូវ ចុចពីរដងដើម្បីកំណត់ឡើងវិញ)	제품 하위 그룹 트리 및 양식 창 크기 조정 (드래그하여 조정, 두 번 클릭하여 재설정)	ປັບຂະໜາດຕົ້ນໄມ້ກຸ່ມຍ່ອຍສິນຄ້າ ແລະ ແຖບຟອມ (ລາກເພື່ອປັບ, ກົດສອງຄັ້ງເພື່ອລີເຊັດ)	ကုန်ပစ္စည်းအုပ်စုခွဲသစ်ပင်နှင့် ဖောင်အကန့်များ အရွယ်အစားပြောင်းရန် (ဆွဲ၍ပြောင်းပါ၊ ပြန်သတ်မှတ်ရန် နှစ်ချက်နှိပ်ပါ)	Thay đổi kích thước cây nhóm con sản phẩm và ngăn biểu mẫu (kéo để thay đổi, nhấp đúp để đặt lại)	Ubah saiz pepohon subkumpulan produk dan anak tetingkap borang (seret untuk ubah saiz, klik dua kali untuk set semula)	Ubah ukuran pohon subgrup produk dan panel formulir (seret untuk mengubah, klik dua kali untuk mengatur ulang)	Baguhin ang laki ng puno ng sub-pangkat ng produkto at mga pane ng form (i-drag upang baguhin, i-double click upang i-reset)
ss_recipes	รายการสูตรผลิต	Recipes	配方	レシピ	រូបមន្ត	레시피	ສູດຜະລິດ	ဖော်မြူလာများ	Công thức	Resipi	Resep	Mga recipe
ss_search_recipe	ค้นหาสูตร...	Search recipe...	搜索配方...	レシピを検索...	ស្វែងរករូបមន្ត...	레시피 검색...	ຄົ້ນຫາສູດ...	ဖော်မြူလာရှာရန်...	Tìm kiếm công thức...	Cari resipi...	Cari resep...	Maghanap ng recipe...
ss_no_recipes_found	ไม่พบสูตรผลิต	No recipes found	未找到配方	レシピが見つかりません	រកមិនឃើញរូបមន្ត	레시피를 찾을 수 없습니다	ບໍ່ພົບສູດ	ဖော်မြူလာမတွေ့ပါ	Không tìm thấy công thức	Tiada resipi ditemui	Resep tidak ditemukan	Walang nakitang mga recipe
ss_adjust_layout_split_drag_to	ปรับขนาดรายการสูตรการผลิตและรายละเอียด (ลากเพื่อปรับ, ดับเบิ้ลคลิกเพื่อรีเซ็ต)	Adjust layout split (drag to resize, double-click to reset)	调整布局分割（拖动调整，双击重置）	レイアウト分割を調整（ドラッグで調整、ダブルクリックでリセット）	លៃតម្រូវការបំបែកប្លង់ (អូសដើម្បីលៃតម្រូវ ចុចពីរដងដើម្បីកំណត់ឡើងវិញ)	레이아웃 분할 조정 (드래그하여 조정, 두 번 클릭하여 재설정)	ປັບການແບ່ງຮູບແບບ (ລາກເພື່ອປັບ, ກົດສອງຄັ້ງເພື່ອລີເຊັດ)	အပြင်အဆင်ခွဲမှုကို ပြောင်းရန် (ဆွဲ၍ပြောင်းပါ၊ ပြန်သတ်မှတ်ရန် နှစ်ချက်နှိပ်ပါ)	Điều chỉnh phân chia bố cục (kéo để thay đổi, nhấp đúp để đặt lại)	Laraskan pemisahan susun atur (seret untuk ubah saiz, klik dua kali untuk set semula)	Sesuaikan pemisahan tata letak (seret untuk mengubah, klik dua kali untuk mengatur ulang)	Ayusin ang paghahati ng layout (i-drag upang baguhin, i-double click upang i-reset)
ss_back_to_list	กลับไปที่รายการ	Back to list	返回列表	一覧に戻る	ត្រឡប់ទៅបញ្ជី	목록으로 돌아가기	ກັບໄປທີ່ລາຍການ	စာရင်းသို့ပြန်သွားရန်	Quay lại danh sách	Kembali ke senarai	Kembali ke daftar	Bumalik sa listahan
ss_resize_category_tree_and_detail	ปรับขนาดหมวดหมู่และรายละเอียด (ลากเพื่อปรับ, ดับเบิ้ลคลิกเพื่อรีเซ็ต)	Resize category tree and detail panes (drag to resize, double-click to reset)	调整类别树和详情窗格大小（拖动调整，双击重置）	カテゴリツリーと詳細枠のサイズを変更（ドラッグで調整、ダブルクリックでリセット）	លៃតម្រូវទំហំមែកធាងប្រភេទ និងផ្ទាំងលម្អិត (អូសដើម្បីលៃតម្រូវ ចុចពីរដងដើម្បីកំណត់ឡើងវិញ)	카테고리 트리 및 세부 정보 창 크기 조정 (드래그하여 조정, 두 번 클릭하여 재설정)	ປັບຂະໜາດຕົ້ນໄມ້ໝວດໝູ່ ແລະ ແຖບລາຍລະອຽດ (ລາກເພື່ອປັບ, ກົດສອງຄັ້ງເພື່ອລີເຊັດ)	အမျိုးအစားသစ်ပင်နှင့် အသေးစိတ်အကန့်များ အရွယ်အစားပြောင်းရန် (ဆွဲ၍ပြောင်းပါ၊ ပြန်သတ်မှတ်ရန် နှစ်ချက်နှိပ်ပါ)	Thay đổi kích thước cây danh mục và ngăn chi tiết (kéo để thay đổi, nhấp đúp để đặt lại)	Ubah saiz pepohon kategori dan anak tetingkap butiran (seret untuk ubah saiz, klik dua kali untuk set semula)	Ubah ukuran pohon kategori dan panel detail (seret untuk mengubah, klik dua kali untuk mengatur ulang)	Baguhin ang laki ng puno ng kategorya at mga pane ng detalye (i-drag upang baguhin, i-double click upang i-reset)
ss_barcodes_in_category	บาร์โค้ดในหมวด	Barcodes in Category	类别中的条形码	カテゴリ内のバーコード	បាកូដក្នុងប្រភេទ	카테고리 내 바코드	ບາໂຄດໃນໝວດ	အမျိုးအစားထဲရှိ ဘားကုဒ်များ	Mã vạch trong danh mục	Kod bar dalam kategori	Kode batang dalam kategori	Mga barcode sa kategorya
ss_category_details	ข้อมูลหมวดสินค้า	Category Details	类别详情	カテゴリ詳細	ព័ត៌មានលម្អិតប្រភេទ	카테고리 세부정보	ລາຍລະອຽດໝວດ	အမျိုးအစားအသေးစိတ်	Chi tiết danh mục	Butiran kategori	Detail kategori	Mga detalye ng kategorya
ss_could_not_load_details	โหลดรายละเอียดไม่สำเร็จ	Could not load details	无法加载详情	詳細を読み込めませんでした	មិនអាចផ្ទុកព័ត៌មានលម្អិតបានទេ	세부정보를 불러올 수 없습니다	ບໍ່ສາມາດໂຫຼດລາຍລະອຽດໄດ້	အသေးစိတ်ကို ဖွင့်၍မရပါ	Không thể tải chi tiết	Tidak dapat memuatkan butiran	Tidak dapat memuat detail	Hindi ma-load ang mga detalye
ss_select_a_category_to_view	เลือกหมวดสินค้าเพื่อดูข้อมูลและจัดการบาร์โค้ด	Select a category to view details and manage barcodes	选择一个类别以查看详情并管理条形码	カテゴリを選択して詳細を表示し、バーコードを管理します	ជ្រើសរើសប្រភេទដើម្បីមើលព័ត៌មានលម្អិត និងគ្រប់គ្រងបាកូដ	세부정보를 보고 바코드를 관리하려면 카테고리를 선택하세요	ເລືອກໝວດເພື່ອເບິ່ງລາຍລະອຽດ ແລະ ຈັດການບາໂຄດ	အသေးစိတ်ကြည့်ရန်နှင့် ဘားကုဒ်များကို စီမံရန် အမျိုးအစားတစ်ခုကို ရွေးပါ	Chọn một danh mục để xem chi tiết và quản lý mã vạch	Pilih kategori untuk melihat butiran dan mengurus kod bar	Pilih kategori untuk melihat detail dan mengelola kode batang	Pumili ng kategorya upang tingnan ang mga detalye at pamahalaan ang mga barcode
ss_select_a_category_from_the	เลือกหมวดหมู่จากแผนผังทางซ้ายเพื่อจัดการบาร์โค้ดในหมวด หรือคลิกแก้ไขข้อมูลหมวดหมู่	Select a category from the tree on the left to manage assigned barcodes or edit category details.	从左侧树中选择一个类别以管理已分配的条形码或编辑类别详情。	左側のツリーからカテゴリを選択して、割り当てられたバーコードを管理するか、カテゴリ詳細を編集します。	ជ្រើសរើសប្រភេទពីមែកធាងនៅខាងឆ្វេង ដើម្បីគ្រប់គ្រងបាកូដដែលបានកំណត់ ឬកែសម្រួលព័ត៌មានលម្អិតប្រភេទ។	왼쪽 트리에서 카테고리를 선택하여 할당된 바코드를 관리하거나 카테고리 세부정보를 편집하세요.	ເລືອກໝວດຈາກຕົ້ນໄມ້ທາງຊ້າຍເພື່ອຈັດການບາໂຄດທີ່ກຳນົດ ຫຼື ແກ້ໄຂລາຍລະອຽດໝວດ.	သတ်မှတ်ထားသော ဘားကုဒ်များကို စီမံရန် သို့မဟုတ် အမျိုးအစားအသေးစိတ်ကို တည်းဖြတ်ရန် ဘယ်ဘက်ရှိ အပင်ပုံစံမှ အမျိုးအစားတစ်ခုကို ရွေးပါ။	Chọn một danh mục từ cây bên trái để quản lý mã vạch được gán hoặc chỉnh sửa chi tiết danh mục.	Pilih kategori daripada pepohon di sebelah kiri untuk mengurus kod bar yang ditetapkan atau edit butiran kategori.	Pilih kategori dari pohon di sebelah kiri untuk mengelola kode batang yang ditetapkan atau mengedit detail kategori.	Pumili ng kategorya mula sa puno sa kaliwa upang pamahalaan ang mga nakatalagang barcode o i-edit ang mga detalye ng kategorya.
ss_preparing_current_company_settings	กำลังเตรียมข้อมูลบริษัทปัจจุบัน	Preparing current company settings.	正在准备当前公司设置。	現在の会社設定を準備しています。	កំពុងរៀបចំការកំណត់ក្រុមហ៊ុនបច្ចុប្បន្ន។	현재 회사 설정을 준비하는 중입니다.	ກຳລັງກະກຽມການຕັ້ງຄ່າບໍລິສັດປັດຈຸບັນ.	လက်ရှိကုမ္ပဏီဆက်တင်များကို ပြင်ဆင်နေသည်။	Đang chuẩn bị cài đặt công ty hiện tại.	Menyediakan tetapan syarikat semasa.	Menyiapkan pengaturan perusahaan saat ini.	Inihahanda ang mga setting ng kasalukuyang kumpanya.
ss_copy_selected_row	คัดลอกจากรายการที่เลือก	Copy selected row	复制所选行	選択した行をコピー	ចម្លងជួរដែលបានជ្រើសរើស	선택한 행 복사	ສຳເນົາແຖວທີ່ເລືອກ	ရွေးထားသောအတန်းကို ကူးယူပါ	Sao chép hàng đã chọn	Salin baris terpilih	Salin baris yang dipilih	Kopyahin ang napiling hilera
ss_import_users_from_excel_csv	นำเข้าผู้ใช้จาก Excel/CSV	Import users from Excel/CSV	从 Excel/CSV 导入用户	Excel/CSV からユーザーをインポート	នាំចូលអ្នកប្រើប្រាស់ពី Excel/CSV	Excel/CSV에서 사용자 가져오기	ນຳເຂົ້າຜູ້ໃຊ້ຈາກ Excel/CSV	Excel/CSV မှ အသုံးပြုသူများကို ထည့်သွင်းပါ	Nhập người dùng từ Excel/CSV	Import pengguna daripada Excel/CSV	Impor pengguna dari Excel/CSV	Mag-import ng mga user mula sa Excel/CSV
ss_resize_list_and_detail_panes	ปรับความกว้างรายการและรายละเอียด (ลากเพื่อปรับ, ดับเบิ้ลคลิกเพื่อรีเซ็ต)	Resize list and detail panes (drag to resize, double-click to reset)	调整列表和详情窗格大小（拖动调整大小，双击重置）	一覧と詳細ペインのサイズ変更（ドラッグでサイズ変更、ダブルクリックでリセット）	កែទំហំផ្ទាំងបញ្ជី និងព័ត៌មានលម្អិត (អូសដើម្បីកែទំហំ ចុចពីរដងដើម្បីកំណត់ឡើងវិញ)	목록 및 세부 정보 창 크기 조정(드래그하여 크기 조정, 두 번 클릭하여 초기화)	ປັບຂະໜາດແຖວລາຍການ ແລະລາຍລະອຽດ (ລາກເພື່ອປັບຂະໜາດ, ກົດສອງເທື່ອເພື່ອຕັ້ງຄືນໃໝ່)	စာရင်းနှင့် အသေးစိတ်အကန့်များ အရွယ်အစားပြောင်းပါ (အရွယ်အစားပြောင်းရန် ဆွဲပါ၊ ပြန်လည်သတ်မှတ်ရန် နှစ်ချက်နှိပ်ပါ)	Thay đổi kích thước ngăn danh sách và chi tiết (kéo để đổi kích thước, nhấp đúp để đặt lại)	Ubah saiz anak tetingkap senarai dan butiran (seret untuk ubah saiz, klik dua kali untuk set semula)	Ubah ukuran panel daftar dan detail (seret untuk mengubah ukuran, klik dua kali untuk mengatur ulang)	Baguhin ang laki ng listahan at mga pane ng detalye (i-drag para baguhin ang laki, i-double click para i-reset)
ss_full_name	ชื่อ-นามสกุล	Full name	全名	氏名	ឈ្មោះពេញ	전체 이름	ຊື່ເຕັມ	အမည်အပြည့်အစုံ	Họ và tên	Nama penuh	Nama lengkap	Buong pangalan
ss_permission_group	กลุ่มสิทธิ์	Permission group	权限组	権限グループ	ក្រុមសិទ្ធិ	권한 그룹	ກຸ່ມສິດ	ခွင့်ပြုချက်အဖွဲ့	Nhóm quyền	Kumpulan kebenaran	Grup izin	Grupo ng pahintulot
ss_book_bank	สมุดเงินฝากธนาคาร	Book Bank	银行存折	銀行通帳	សៀវភៅធនាគារ	은행 통장	ປື້ມບັນຊີທະນາຄານ	ဘဏ်စာအုပ်	Sổ ngân hàng	Buku bank	Buku bank	Aklat ng bangko
ss_set	ชุด 	Set 	套装	セット	ឈុត	세트	ຊຸດ	အစုံ	Bộ	Set	Set	Set
ss_subcategory	หมวดย่อย	Subcategory	子类别	サブカテゴリ	ប្រភេទរង	하위 분류	ໝວດຍ່ອຍ	အမျိုးအစားခွဲ	Danh mục con	Subkategori	Subkategori	Subkategorya
ss_root_category	หมวดหลัก	Root category	根类别	ルートカテゴリ	ប្រភេទឫស	루트 분류	ໝວດຫຼັກ	အမြစ်အမျိုးအစား	Danh mục gốc	Kategori akar	Kategori akar	Kategoryang ugat
ss_move_or_delete_subcategories_first	ย้ายหรือลบหมวดย่อยก่อน	Move or delete subcategories first	请先移动或删除子类别	最初にサブカテゴリを移動または削除してください	ផ្លាស់ទី ឬលុបប្រភេទរងជាមុនសិន	먼저 하위 분류를 이동하거나 삭제하세요	ຍ້າຍ ຫຼື ລຶບໝວດຍ່ອຍກ່ອນ	အမျိုးအစားခွဲများကို ဦးစွာရွှေ့ပါ သို့မဟုတ် ဖျက်ပါ	Di chuyển hoặc xóa các danh mục con trước	Alih atau padam subkategori dahulu	Pindahkan atau hapus subkategori terlebih dahulu	Ilipat o tanggalin muna ang mga subkategorya
ss_bank_logo	สังกัดธนาคารและโลโก้	Bank & Logo	银行与徽标	銀行とロゴ	ធនាគារ និងរូបសញ្ញា	은행 및 로고	ທະນາຄານ ແລະ ໂລໂກ້	ဘဏ်နှင့် လိုဂို	Ngân hàng & Logo	Bank & Logo	Bank & Logo	Bangko at Logo
ss_select_from_thai_bank_template	เลือกจากแม่แบบธนาคารไทย หรือกำหนดรหัสและชื่อธนาคารเอง	Select from Thai bank template or define a custom bank	从泰国银行模板中选择，或自定义银行	タイの銀行テンプレートから選択、または銀行をカスタム定義	ជ្រើសរើសពីពុម្ពធនាគារថៃ ឬកំណត់ធនាគារផ្ទាល់ខ្លួន	태국 은행 템플릿에서 선택하거나 사용자 지정 은행을 정의하세요.	ເລືອກຈາກແມ່ແບບທະນາຄານໄທ ຫຼືກຳນົດທະນາຄານເອງ	ထိုင်းဘဏ်ပုံစံမှ ရွေးပါ သို့မဟုတ် ကိုယ်ပိုင်ဘဏ်ကို သတ်မှတ်ပါ	Chọn từ mẫu ngân hàng Thái Lan hoặc tự định nghĩa ngân hàng	Pilih daripada templat bank Thai atau tetapkan bank tersuai	Pilih dari templat bank Thailand atau tentukan bank kustom	Pumili mula sa template ng bangko ng Thailand o tumukoy ng custom na bangko
ss_template	เลือกจากแม่แบบ	Template	模板	テンプレート	ពុម្ព	템플릿	ແມ່ແບບ	ပုံစံ	Mẫu	Templat	Templat	Template
ss_custom_bank	กำหนดธนาคารเอง	Custom Bank	自定义银行	カスタム銀行	ធនាគារផ្ទាល់ខ្លួន	사용자 지정 은행	ທະນາຄານເອງ	ကိုယ်ပိုင်ဘဏ်	Ngân hàng tùy chỉnh	Bank Tersuai	Bank Kustom	Custom na Bangko
ss_thai_bank_template	แม่แบบธนาคารไทย:	Thai Bank Template:	泰国银行模板：	タイの銀行テンプレート：	ពុម្ពធនាគារថៃ៖	태국 은행 템플릿:	ແມ່ແບບທະນາຄານໄທ:	ထိုင်းဘဏ်ပုံစံ-	Mẫu ngân hàng Thái Lan:	Templat Bank Thai:	Templat Bank Thailand:	Template ng Bangkong Thai:
ss_select_thai_bank	-- เลือกธนาคารไทย --	-- Select Thai Bank --	-- 选择泰国银行 --	-- タイの銀行を選択 --	-- ជ្រើសរើសធនាគារថៃ --	-- 태국 은행 선택 --	-- ເລືອກທະນາຄານໄທ --	-- ထိုင်းဘဏ်ကို ရွေးပါ --	-- Chọn ngân hàng Thái Lan --	-- Pilih Bank Thai --	-- Pilih Bank Thailand --	-- Pumili ng Bangkong Thai --
ss_customize	ปรับแต่งข้อมูลธนาคาร...	Customize...	自定义...	カスタマイズ...	ប្ដូរតាមបំណង...	사용자 지정...	ປັບແຕ່ງ...	စိတ်ကြိုက်ပြင်ဆင်ရန်...	Tùy chỉnh...	Sesuaikan...	Kustomisasi...	I-customize...
ss_please_select_a_bank_from	กรุณาเลือกธนาคารจากรายการด้านบน หรือคลิก \"กำหนดธนาคารเอง\" เพื่อใส่ข้อมูลธนาคารใหม่	Please select a bank from above or switch to \"Custom Bank\".	请从上方选择银行，或切换到"自定义银行"。	上のリストから銀行を選択するか、"カスタム銀行"に切り替えてください。	សូមជ្រើសរើសធនាគារពីខាងលើ ឬប្ដូរទៅ "ធនាគារផ្ទាល់ខ្លួន"។	위에서 은행을 선택하거나 "사용자 지정 은행"으로 전환하세요.	ກະລຸນາເລືອກທະນາຄານຈາກລາຍການຂ້າງເທິງ ຫຼືປ່ຽນໄປທີ່ "ທະນາຄານເອງ".	အပေါ်မှ ဘဏ်တစ်ခုကို ရွေးပါ သို့မဟုတ် "ကိုယ်ပိုင်ဘဏ်" သို့ ပြောင်းပါ။	Vui lòng chọn ngân hàng ở trên hoặc chuyển sang "Ngân hàng tùy chỉnh".	Sila pilih bank daripada senarai di atas atau tukar kepada "Bank Tersuai".	Silakan pilih bank dari atas atau beralih ke "Bank Kustom".	Pakipili ang bangko mula sa itaas o lumipat sa "Custom na Bangko".
ss_subcategory_suffix	 · หมวดย่อย	 · Subcategory	· 子类别	· サブカテゴリ	· អនុប្រភេទ	· 하위 분류	· ໝວດຍ່ອຍ	· အမျိုးအစားခွဲ	· Danh mục con	· Subkategori	· Subkategori	· Subkategorya
ss_root_category_suffix	 · หมวดหลัก	 · Root category	· 根类别	· ルートカテゴリ	· ប្រភេទឫស	· 루트 분류	· ໝວດຫຼັກ	· အမြစ်အမျိုးအစား	· Danh mục gốc	· Kategori akar	· Kategori akar	· Root na kategorya
